nombre,edad,departamento,ventas,clientes
Jorge,41.0,Soporte,2639.0,53.0
Carlos,,Ventas,2900.0,54.0
Luis,26.0,Soporte,2204.0,56.0
Pedro,44.0,Ventas,862.0,22.0
Pedro,23.0,Soporte,2216.0,31.0
Raul,55.0,Marketing,1693.0,30.0
Carlos,25.0,Soporte,855.0,95.0
Pedro,50.0,Soporte,690.0,18.0
Luis,38.0,Soporte,2969.0,35.0
Raul,58.0,Soporte,1199.0,18.0
Luis,46.0,Ventas,2554.0,24.0
Raul,29.0,Marketing,2680.0,19.0
Carlos,45.0,Soporte,1056.0,97.0
Jorge,38.0,Ventas,1325.0,51.0
Sofia,58.0,Marketing,1554.0,81.0
Elena,22.0,Marketing,925.0,33.0
Jorge,32.0,Marketing,2910.0,89.0
Lucia,47.0,Marketing,2074.0,58.0
Luis,39.0,Soporte,2629.0,35.0
Lucia,47.0,Soporte,2903.0,46.0
Jorge,27.0,Ventas,1088.0,77.0
Raul,58.0,Ventas,2512.0,59.0
Elena,20.0,Ventas,2047.0,33.0
Elena,22.0,Marketing,794.0,28.0
Ana,32.0,Marketing,2485.0,69.0
Elena,47.0,Soporte,1747.0,48.0
Sofia,44.0,Marketing,2048.0,83.0
Elena,52.0,Marketing,2190.0,98.0
Jorge,57.0,Marketing,1636.0,27.0
Ana,25.0,Ventas,1756.0,28.0
Jorge,51.0,Ventas,2564.0,45.0
Jorge,40.0,Soporte,859.0,83.0
Marta,35.0,Marketing,1199.0,
Ana,40.0,Marketing,947.0,78.0
Jorge,30.0,Soporte,2912.0,56.0
Marta,56.0,Marketing,1174.0,58.0
Marta,55.0,Marketing,1507.0,42.0
Ana,54.0,Ventas,1849.0,30.0
Lucia,38.0,Soporte,2961.0,90.0
Raul,39.0,Soporte,1085.0,31.0
Sofia,37.0,Soporte,1756.0,57.0
Raul,33.0,Soporte,1747.0,46.0
Elena,34.0,Ventas,1493.0,24.0
Sofia,50.0,Ventas,1935.0,44.0
Elena,20.0,Marketing,1071.0,80.0
Jorge,22.0,Marketing,2882.0,41.0
Luis,35.0,Marketing,1745.0,20.0
Ana,42.0,Marketing,2584.0,19.0
Sofia,30.0,Ventas,1488.0,82.0
Sofia,31.0,Soporte,777.0,87.0
Jorge,29.0,Ventas,1719.0,86.0
Lucia,51.0,Marketing,2387.0,66.0
Marta,35.0,Ventas,983.0,34.0
Jorge,27.0,Soporte,1765.0,11.0
Pedro,57.0,Soporte,1230.0,73.0
Marta,31.0,Ventas,2739.0,44.0
Ana,43.0,Ventas,1540.0,16.0
Marta,47.0,Ventas,1417.0,94.0
Lucia,27.0,Marketing,2948.0,27.0
Marta,47.0,Ventas,1385.0,76.0
Ana,55.0,Ventas,521.0,51.0
Lucia,45.0,Ventas,973.0,48.0
Raul,27.0,Soporte,2757.0,50.0
Sofia,47.0,Soporte,2853.0,84.0
Sofia,47.0,Marketing,1203.0,33.0
Elena,56.0,Marketing,1186.0,69.0
Raul,55.0,Soporte,784.0,55.0
Raul,46.0,Soporte,1215.0,28.0
Marta,36.0,Soporte,1262.0,77.0
Sofia,28.0,Ventas,1750.0,99.0
Ana,52.0,Ventas,1447.0,51.0
Carlos,39.0,Soporte,2928.0,41.0
Carlos,32.0,Ventas,1530.0,48.0
Lucia,47.0,Ventas,528.0,45.0
Sofia,48.0,Marketing,1406.0,45.0
Sofia,32.0,Soporte,2626.0,12.0
Carlos,54.0,Soporte,1069.0,82.0
Sofia,25.0,Ventas,2506.0,17.0
Marta,37.0,Soporte,1953.0,79.0
Pedro,24.0,Marketing,1237.0,50.0
Luis,44.0,Marketing,1015.0,77.0
Raul,21.0,Marketing,2500.0,22.0
Elena,29.0,Soporte,2944.0,58.0
Lucia,49.0,Soporte,538.0,69.0
Pedro,24.0,Soporte,1386.0,11.0
Carlos,52.0,Soporte,2704.0,69.0
Raul,,Soporte,1598.0,14.0
Sofia,37.0,Marketing,2323.0,53.0
Elena,51.0,Ventas,2210.0,36.0
Sofia,30.0,Marketing,1473.0,41.0
Ana,40.0,Soporte,2062.0,30.0
Ana,45.0,Marketing,1488.0,17.0
Elena,44.0,Soporte,520.0,81.0
Elena,41.0,Soporte,2850.0,59.0
Carlos,46.0,Marketing,1368.0,76.0
Elena,32.0,Soporte,583.0,53.0
Marta,52.0,Ventas,2182.0,67.0
Sofia,53.0,Soporte,2476.0,12.0
Pedro,54.0,Ventas,1910.0,95.0
Jorge,20.0,Ventas,2030.0,79.0
Elena,40.0,Soporte,1069.0,11.0
Lucia,25.0,Marketing,1433.0,96.0
Ana,47.0,Ventas,2480.0,53.0
Marta,36.0,Marketing,2355.0,11.0
Raul,24.0,Ventas,1292.0,90.0
Jorge,50.0,Soporte,1291.0,44.0
Pedro,24.0,Soporte,2309.0,96.0
Jorge,57.0,Ventas,1794.0,39.0
Elena,22.0,Soporte,2755.0,17.0
Carlos,42.0,Ventas,2107.0,31.0
Ana,56.0,Soporte,1583.0,53.0
Ana,,Marketing,2977.0,67.0
Raul,29.0,Soporte,1484.0,45.0
Carlos,29.0,Marketing,2180.0,78.0
Sofia,38.0,Soporte,1019.0,
Luis,36.0,Marketing,1090.0,40.0
Marta,40.0,Soporte,1550.0,56.0
Ana,33.0,Marketing,2209.0,64.0
Lucia,28.0,Ventas,2535.0,89.0
Ana,20.0,Ventas,2746.0,71.0
Jorge,32.0,Marketing,2934.0,39.0
Ana,23.0,Soporte,848.0,64.0
Ana,20.0,Marketing,1459.0,25.0
Luis,59.0,Soporte,2463.0,21.0
Luis,51.0,Ventas,1192.0,26.0
Pedro,53.0,Soporte,2059.0,25.0
Sofia,47.0,Ventas,877.0,21.0
Lucia,50.0,Soporte,1026.0,17.0
Ana,27.0,Soporte,2753.0,93.0
Ana,58.0,Soporte,1759.0,12.0
Marta,45.0,Marketing,2375.0,25.0
Luis,53.0,Marketing,2263.0,39.0
Lucia,22.0,Ventas,1020.0,32.0
Raul,31.0,Ventas,2201.0,14.0
Pedro,20.0,Marketing,1516.0,93.0
Sofia,24.0,Ventas,1513.0,74.0
Carlos,49.0,Marketing,616.0,39.0
Sofia,49.0,Soporte,2933.0,30.0
Jorge,36.0,Ventas,1867.0,93.0
Ana,42.0,Ventas,1083.0,79.0
Pedro,34.0,Marketing,894.0,31.0
Jorge,56.0,Ventas,1587.0,91.0
Lucia,40.0,Ventas,571.0,81.0
Carlos,33.0,Soporte,,41.0
Luis,21.0,Ventas,2513.0,42.0
Pedro,30.0,Soporte,1843.0,25.0
Pedro,58.0,Marketing,837.0,85.0
Ana,57.0,Ventas,1889.0,47.0
Elena,53.0,Soporte,1106.0,23.0
Pedro,57.0,Marketing,665.0,45.0
Marta,53.0,Ventas,2067.0,32.0
Carlos,37.0,Marketing,2558.0,75.0
Carlos,49.0,Ventas,1824.0,94.0
Marta,34.0,Marketing,1228.0,11.0
Raul,46.0,Marketing,2543.0,82.0
Marta,53.0,Soporte,601.0,74.0
Marta,57.0,Marketing,1915.0,84.0
Carlos,52.0,Ventas,1278.0,76.0
Sofia,43.0,Ventas,713.0,61.0
Carlos,,Soporte,1611.0,71.0
Elena,49.0,Ventas,2076.0,32.0
Ana,36.0,Ventas,2948.0,35.0
Jorge,24.0,Ventas,2195.0,77.0
Sofia,48.0,Marketing,1091.0,91.0
Luis,23.0,Marketing,1833.0,64.0
Jorge,29.0,Ventas,1609.0,15.0
Ana,36.0,Soporte,2639.0,44.0
Elena,29.0,Marketing,1213.0,31.0
Elena,36.0,Soporte,1435.0,52.0
Luis,39.0,Ventas,2451.0,24.0
Sofia,43.0,Ventas,741.0,95.0
Raul,24.0,Marketing,2543.0,69.0
Marta,53.0,Ventas,501.0,21.0
Sofia,25.0,Marketing,2772.0,58.0
Raul,21.0,Ventas,,51.0
Elena,32.0,Ventas,2449.0,47.0
Carlos,30.0,Marketing,2663.0,91.0
Ana,42.0,Marketing,1417.0,54.0
Luis,35.0,Marketing,2741.0,44.0
Ana,50.0,Ventas,589.0,39.0
Lucia,30.0,Ventas,2209.0,97.0
Lucia,35.0,Soporte,,39.0
Sofia,27.0,Marketing,642.0,87.0
Elena,23.0,Ventas,605.0,15.0
Elena,59.0,Ventas,1386.0,76.0
Marta,23.0,Marketing,927.0,89.0
Marta,44.0,Soporte,1828.0,16.0
Marta,22.0,Marketing,2395.0,61.0
Carlos,51.0,Soporte,2494.0,23.0
Jorge,,Ventas,,82.0
Pedro,46.0,Soporte,2486.0,24.0
Jorge,48.0,Ventas,1134.0,30.0
Ana,51.0,Marketing,2425.0,44.0
Jorge,38.0,Marketing,2556.0,75.0
Carlos,40.0,Marketing,2770.0,11.0
Ana,24.0,Soporte,1939.0,44.0
Jorge,37.0,Ventas,1052.0,91.0
Carlos,47.0,Marketing,1215.0,87.0
Pedro,41.0,Marketing,1787.0,29.0
Jorge,40.0,Ventas,2213.0,91.0
Carlos,25.0,Marketing,2383.0,19.0
Marta,20.0,Ventas,1607.0,34.0
Elena,24.0,Ventas,1841.0,75.0
Marta,31.0,Ventas,610.0,34.0
Elena,45.0,Ventas,750.0,63.0
Luis,53.0,Ventas,2930.0,42.0
Luis,33.0,Soporte,2554.0,45.0
Luis,45.0,Marketing,958.0,23.0
Pedro,46.0,Soporte,1607.0,74.0
Marta,28.0,Marketing,707.0,89.0
Elena,45.0,Soporte,1399.0,63.0
Carlos,41.0,Ventas,521.0,61.0
Ana,49.0,Marketing,909.0,12.0
Carlos,36.0,Marketing,1394.0,50.0
Ana,45.0,Soporte,1014.0,15.0
Lucia,55.0,Soporte,1308.0,34.0
Carlos,20.0,Marketing,1373.0,22.0
Jorge,27.0,Soporte,513.0,17.0
Jorge,54.0,Soporte,1470.0,30.0
Sofia,34.0,Soporte,2634.0,77.0
Marta,41.0,Ventas,2060.0,34.0
Ana,33.0,Ventas,1824.0,88.0
Ana,45.0,Soporte,1766.0,77.0
Marta,47.0,Soporte,2669.0,54.0
Pedro,42.0,Ventas,1249.0,69.0
Sofia,33.0,Ventas,1184.0,21.0
Pedro,43.0,Marketing,2427.0,41.0
Pedro,21.0,Marketing,2856.0,22.0
Pedro,45.0,Ventas,1194.0,40.0
Marta,33.0,Soporte,2835.0,87.0
Pedro,26.0,Soporte,806.0,29.0
Jorge,22.0,Soporte,2489.0,27.0
Luis,42.0,Soporte,1161.0,69.0
Lucia,37.0,Marketing,1048.0,72.0
Ana,57.0,Ventas,811.0,15.0
Ana,54.0,Soporte,1582.0,41.0
Lucia,,Marketing,2237.0,52.0
Marta,44.0,Soporte,1254.0,11.0
Carlos,56.0,Ventas,534.0,69.0
Marta,47.0,Marketing,944.0,32.0
Ana,29.0,Ventas,2640.0,92.0
Ana,58.0,Ventas,2482.0,40.0
Lucia,36.0,Marketing,1730.0,14.0
Pedro,58.0,Marketing,852.0,92.0
Marta,41.0,Marketing,1402.0,43.0
Elena,45.0,Marketing,,19.0
Lucia,44.0,Marketing,2248.0,98.0
Jorge,36.0,Marketing,658.0,11.0
Ana,32.0,Marketing,2477.0,20.0
Lucia,39.0,Soporte,1456.0,59.0
Marta,44.0,Ventas,2571.0,40.0
Ana,23.0,Marketing,903.0,65.0
Carlos,29.0,Soporte,1015.0,88.0
Lucia,22.0,Soporte,1887.0,82.0
Sofia,37.0,Soporte,1455.0,96.0
Ana,55.0,Ventas,2699.0,92.0
Marta,41.0,Marketing,2212.0,18.0
Luis,53.0,Soporte,1107.0,30.0
Elena,27.0,Ventas,2967.0,82.0
Raul,59.0,Ventas,1773.0,37.0
Pedro,38.0,Ventas,2035.0,71.0
Raul,56.0,Soporte,2882.0,16.0
Marta,25.0,Marketing,1941.0,89.0
Jorge,45.0,Soporte,2297.0,25.0
Jorge,53.0,Soporte,794.0,13.0
Luis,25.0,Marketing,1254.0,13.0
Pedro,56.0,Marketing,1894.0,49.0
Sofia,52.0,Marketing,685.0,26.0
Luis,41.0,Ventas,1769.0,61.0
Raul,40.0,Marketing,1136.0,61.0
Luis,25.0,Soporte,1791.0,45.0
Raul,25.0,Marketing,1029.0,47.0
Ana,23.0,Soporte,2568.0,59.0
Jorge,49.0,Ventas,1293.0,72.0
Ana,30.0,Soporte,2647.0,
Elena,49.0,Soporte,977.0,71.0
Pedro,50.0,Marketing,2122.0,16.0
Sofia,43.0,Marketing,1439.0,36.0
Raul,28.0,Soporte,1025.0,95.0
Sofia,22.0,Marketing,2881.0,23.0
Raul,50.0,Ventas,501.0,80.0
Marta,59.0,Ventas,874.0,
Luis,56.0,Marketing,2840.0,14.0
Elena,55.0,Ventas,1052.0,64.0
Jorge,43.0,Marketing,2865.0,11.0
Raul,50.0,Soporte,2025.0,71.0
Sofia,25.0,Soporte,2351.0,30.0
Elena,21.0,Ventas,880.0,88.0
Carlos,39.0,Marketing,2146.0,30.0
Carlos,47.0,Marketing,513.0,19.0
Ana,30.0,Ventas,1003.0,
Jorge,23.0,Soporte,2778.0,67.0
Marta,34.0,Ventas,2508.0,48.0
Sofia,25.0,Soporte,629.0,14.0
Luis,49.0,Marketing,1337.0,74.0
Luis,57.0,Soporte,2540.0,22.0
Sofia,21.0,Ventas,527.0,94.0
Pedro,34.0,Marketing,2613.0,99.0
Marta,30.0,Ventas,1752.0,94.0
Elena,27.0,Ventas,760.0,62.0
Raul,45.0,Soporte,2546.0,91.0
Pedro,24.0,Ventas,1972.0,54.0
Raul,25.0,Soporte,1947.0,41.0
Raul,45.0,Marketing,959.0,45.0
Pedro,23.0,Soporte,800.0,90.0
Ana,38.0,Marketing,2834.0,69.0
Carlos,39.0,Soporte,1129.0,20.0
Raul,52.0,Ventas,769.0,72.0
Pedro,39.0,Soporte,2493.0,30.0
Pedro,31.0,Soporte,2128.0,61.0
Lucia,20.0,Marketing,2301.0,64.0
Ana,45.0,Ventas,1361.0,35.0
Jorge,33.0,Soporte,1780.0,77.0
Lucia,57.0,Ventas,2680.0,43.0
Lucia,56.0,Soporte,2299.0,61.0
Sofia,30.0,Soporte,2206.0,91.0
Carlos,55.0,Ventas,2860.0,61.0
Pedro,32.0,Soporte,1075.0,38.0
Carlos,22.0,Ventas,2503.0,47.0
Marta,52.0,Soporte,1807.0,51.0
Sofia,25.0,Marketing,2456.0,30.0
Jorge,29.0,Ventas,2520.0,51.0
Carlos,24.0,Soporte,2712.0,22.0
Luis,42.0,Soporte,2852.0,73.0
Raul,29.0,Marketing,2155.0,26.0
Marta,21.0,Ventas,2079.0,18.0
Ana,32.0,Soporte,2347.0,50.0
Jorge,59.0,Marketing,2703.0,10.0
Marta,21.0,Soporte,1890.0,11.0
Raul,39.0,Ventas,2242.0,69.0
Sofia,20.0,Soporte,2425.0,57.0
Raul,56.0,Soporte,1119.0,38.0
Lucia,28.0,Soporte,1774.0,19.0
Raul,36.0,Soporte,1456.0,67.0
Lucia,28.0,Marketing,2439.0,69.0
Sofia,30.0,Marketing,2881.0,30.0
Elena,34.0,Ventas,1468.0,37.0
Lucia,43.0,Marketing,1816.0,84.0
Ana,57.0,Marketing,1543.0,43.0
Raul,54.0,Ventas,781.0,17.0
Raul,49.0,Marketing,2666.0,68.0
Ana,50.0,Marketing,1558.0,95.0
Luis,24.0,Ventas,697.0,
Pedro,33.0,Ventas,1582.0,58.0
Elena,30.0,Ventas,1684.0,88.0
Jorge,28.0,Soporte,1508.0,26.0
Lucia,53.0,Soporte,1729.0,69.0
Ana,31.0,Ventas,1535.0,96.0
Sofia,54.0,Ventas,989.0,97.0
Lucia,54.0,Ventas,775.0,54.0
Pedro,20.0,Soporte,2789.0,92.0
Sofia,59.0,Soporte,1739.0,78.0
Marta,41.0,Marketing,1774.0,41.0
Raul,48.0,Marketing,625.0,53.0
Marta,27.0,Ventas,716.0,74.0
Lucia,30.0,Soporte,1708.0,96.0
Pedro,56.0,Soporte,1746.0,17.0
Elena,33.0,Soporte,2974.0,86.0
Lucia,49.0,Ventas,1418.0,81.0
Ana,54.0,Marketing,1817.0,96.0
Carlos,40.0,Ventas,2698.0,52.0
Lucia,56.0,Marketing,2931.0,
Raul,24.0,Marketing,2161.0,60.0
Raul,38.0,Ventas,807.0,33.0
Lucia,33.0,Marketing,1859.0,33.0
Sofia,45.0,Marketing,2469.0,26.0
Carlos,23.0,Soporte,1391.0,14.0
Ana,44.0,Marketing,874.0,29.0
Lucia,44.0,Ventas,2533.0,30.0
Sofia,37.0,Ventas,1864.0,67.0
Raul,59.0,Marketing,628.0,40.0
Raul,,Soporte,1514.0,20.0
Pedro,58.0,Soporte,2299.0,61.0
Lucia,59.0,Marketing,1881.0,24.0
Carlos,33.0,Marketing,1016.0,92.0
Luis,51.0,Ventas,2018.0,16.0
Carlos,57.0,Marketing,585.0,37.0
Raul,52.0,Soporte,1698.0,60.0
Raul,42.0,Marketing,2858.0,67.0
Marta,34.0,Ventas,1642.0,14.0
Raul,52.0,Ventas,2974.0,14.0
Ana,44.0,Ventas,2493.0,17.0
Jorge,36.0,Ventas,2661.0,73.0
Lucia,52.0,Ventas,802.0,19.0
Carlos,21.0,Marketing,1087.0,47.0
Jorge,33.0,Marketing,1486.0,90.0
Sofia,59.0,Marketing,2363.0,17.0
Luis,59.0,Marketing,844.0,34.0
Ana,,Ventas,1313.0,82.0
Carlos,25.0,Soporte,2487.0,75.0
Jorge,25.0,Marketing,1810.0,88.0
Luis,22.0,Soporte,2499.0,59.0
Marta,26.0,Marketing,2177.0,76.0
Ana,27.0,Marketing,1827.0,58.0
Ana,34.0,Soporte,1592.0,45.0
Marta,48.0,Ventas,2908.0,77.0
Lucia,52.0,Marketing,1509.0,87.0
Marta,49.0,Marketing,1203.0,50.0
Ana,58.0,Marketing,1074.0,98.0
Ana,46.0,Soporte,2108.0,71.0
Jorge,55.0,Ventas,1612.0,19.0
Raul,48.0,Soporte,1187.0,30.0
Luis,57.0,Soporte,988.0,45.0
Marta,52.0,Ventas,1847.0,21.0
Luis,56.0,Soporte,993.0,11.0
Marta,46.0,Ventas,2167.0,22.0
Sofia,52.0,Marketing,2137.0,62.0
Ana,23.0,Ventas,518.0,41.0
Raul,41.0,Marketing,2944.0,25.0
Jorge,21.0,Soporte,1500.0,41.0
Raul,29.0,Soporte,1350.0,41.0
Raul,24.0,Marketing,1888.0,20.0
Raul,29.0,Soporte,1854.0,19.0
Luis,52.0,Ventas,1867.0,24.0
Marta,57.0,Marketing,1321.0,26.0
Elena,32.0,Soporte,954.0,49.0
Sofia,50.0,Marketing,2124.0,27.0
Carlos,55.0,Ventas,1210.0,64.0
Raul,43.0,Ventas,2690.0,
Lucia,34.0,Soporte,,34.0
Luis,48.0,Ventas,1996.0,68.0
Jorge,27.0,Marketing,1940.0,87.0
Carlos,24.0,Ventas,804.0,98.0
Elena,48.0,Marketing,1235.0,31.0
Lucia,23.0,Marketing,2838.0,39.0
Elena,31.0,Ventas,2463.0,93.0
Carlos,21.0,Soporte,2649.0,94.0
Raul,46.0,Ventas,2509.0,53.0
Lucia,50.0,Marketing,1461.0,41.0
Elena,55.0,Marketing,1526.0,60.0
Jorge,55.0,Ventas,2632.0,55.0
Marta,45.0,Soporte,2875.0,30.0
Ana,46.0,Soporte,,41.0
Marta,24.0,Marketing,2447.0,48.0
Carlos,39.0,Marketing,1677.0,21.0
Luis,30.0,Soporte,1164.0,56.0
Ana,,Ventas,511.0,27.0
Sofia,59.0,Marketing,1656.0,30.0
Jorge,57.0,Marketing,803.0,
Sofia,25.0,Soporte,2263.0,30.0
Lucia,27.0,Ventas,542.0,17.0
Ana,42.0,Soporte,1443.0,55.0
Sofia,45.0,Ventas,2890.0,16.0
Sofia,31.0,Ventas,1849.0,32.0
Elena,45.0,Ventas,2911.0,84.0
Marta,32.0,Marketing,1390.0,95.0
